voxel_value,allen_id,acronym,name,anatomy_group,kind,hex_color,r,g,b,present_in_volume,voxel_count
0,0,outside,Outside source envelope,background,,#FFFFFF,255,255,255,yes,82462185
1,3000,sc,spinal cord,whole_cord_aggregate,aggregate,#C96B6B,201,107,107,no,0
2,3001,11N,accessory nerve nucleus,gray_matter,named_structure,#5D80D7,93,128,215,no,0
3,3002,11n,spinal accessory nerve,roots_and_peripheral_ganglia,named_structure,#A5E64C,165,230,76,no,0
4,3003,1Sp,lamina 1 of the spinal gray,gray_matter,named_structure,#23B9D1,35,185,209,yes,686150
5,3004,2Sp,lamina 2 of the spinal gray,gray_matter,aggregate,#5DD7C3,93,215,195,no,0
6,3005,2SpI,"lamina 2 of the spinal gray, inner part",gray_matter,named_structure,#F18472,241,132,114,yes,996064
7,3006,2SpO,"lamina 2 of the spinal gray, outer part",gray_matter,named_structure,#865CC2,134,92,194,yes,893304
8,3007,3Sp,lamina 3 of the spinal gray,gray_matter,named_structure,#4AB39B,74,179,155,yes,2191592
9,3008,4Sp,lamina 4 of the spinal gray,gray_matter,named_structure,#E6B955,230,185,85,yes,2882977
10,3009,5Sp,lamina 5 of the spinal gray,gray_matter,named_structure,#BA8A32,186,138,50,yes,405532
11,3010,5SpL,"lamina 5 of the spinal gray, lateral part",gray_matter,named_structure,#467AC0,70,122,192,yes,2530836
12,3011,5SpM,"lamina 5 of the spinal gray, medial part",gray_matter,named_structure,#D16E9D,209,110,157,yes,1002008
13,3012,6Sp,lamina 6 of the spinal gray,gray_matter,named_structure,#E68B42,230,139,66,yes,355142
14,3013,6SpL,"lamina 6 of the spinal gray, lateral part",gray_matter,named_structure,#AA76CF,170,118,207,yes,116380
15,3014,6SpM,"lamina 6 of the spinal gray, medial part",gray_matter,named_structure,#87AD43,135,173,67,yes,154952
16,3015,7Sp,lamina 7 of the spinal gray,gray_matter,named_structure,#20A69E,32,166,158,yes,7265154
17,3016,8Sp,lamina 8 of the spinal gray,gray_matter,named_structure,#B391D9,179,145,217,yes,4255826
18,3017,9Sp,lamina 9 of the spinal gray,gray_matter,aggregate,#4CDFE6,76,223,230,no,0
19,3018,10Sp,lamina 10 of the spinal gray,gray_matter,named_structure,#EA967B,234,150,123,yes,972600
20,3019,Ad9,adductor motoneurons of lamina 9,gray_matter,named_structure,#E0CCAE,224,204,174,yes,133108
21,3020,asp,anterior spinal artery,vascular,named_structure,#E76763,231,103,99,no,0
22,3021,Ax9,axial muscle motoneurons of lamina 9,gray_matter,named_structure,#D64B29,214,75,41,yes,476664
23,3022,Bi9,biceps motoneurons of lamina 9,gray_matter,named_structure,#B94646,185,70,70,yes,110016
24,3023,CC,central canal,canal,named_structure,#385C73,56,92,115,yes,29533
25,3024,CE,cauda equina,roots_and_peripheral_ganglia,named_structure,#C96BC9,201,107,201,no,0
26,3025,CeCv,central cervical nucleus,gray_matter,named_structure,#A1EDDE,161,237,222,yes,166136
27,3026,CEx9,crural extensor motoneurons of lamina 9,gray_matter,named_structure,#B95D46,185,93,70,yes,39296
28,3027,CFl9,crural flexor motoneurons of lamina 9,gray_matter,named_structure,#EDEDA1,237,237,161,yes,43118
29,3028,CoVert,coccygeal vertebra,skeletal,named_structure,#72D75D,114,215,93,no,0
30,3029,Cr9,cremaster motoneurons of lamina 9,gray_matter,named_structure,#29D6D6,41,214,214,yes,39028
31,3030,cu,cuneate fasciculus,white_matter,named_structure,#A9C998,169,201,152,yes,943534
32,3031,D,dorsal nucleus (Clarke),gray_matter,named_structure,#294BD6,41,75,214,yes,151632
33,3032,dcs,dorsal corticospinal tract,white_matter,named_structure,#729AD4,114,154,212,yes,952389
34,3033,De9,deltoid motoneurons of lamina 9,gray_matter,named_structure,#DC4756,220,71,86,yes,160296
35,3034,df,dorsal funiculus,white_matter,aggregate,#D7665D,215,102,93,no,0
36,3035,dl,dorsolateral fasciculus (Lissauer),white_matter,named_structure,#4C6CE6,76,108,230,yes,892256
37,3036,dr,dorsal root,roots_and_peripheral_ganglia,named_structure,#DDA078,221,160,120,yes,64352
38,3037,DRG,dorsal root ganglion,roots_and_peripheral_ganglia,named_structure,#D75DBE,215,93,190,no,0
39,3038,ExA9,external anal sphincter motoneurons of lamina 9,gray_matter,named_structure,#4CE6D8,76,230,216,yes,18924
40,3039,ExU9,external urethral sphincter motoneurons of lamina 9,gray_matter,named_structure,#E0AEB3,224,174,179,yes,19584
41,3040,FEx9,forearm extensor motoneurons of lamina 9,gray_matter,named_structure,#B9468B,185,70,139,yes,62966
42,3041,FFl9,forearm flexor motoneurons of lamina 9,gray_matter,named_structure,#E0BDAE,224,189,174,yes,53290
43,3042,Gl9,gluteal motoneurons of lamina 9,gray_matter,named_structure,#C36060,195,96,96,yes,73636
44,3043,gr,gracile fasciculus,white_matter,named_structure,#8CBCDB,140,188,219,yes,1417474
45,3044,Hm9,hamstring motoneurons of lamina 9,gray_matter,named_structure,#B97446,185,116,70,yes,104296
46,3045,IB,internal basilar nucleus,gray_matter,named_structure,#A1DEED,161,222,237,yes,77938
47,3046,ICl,intercalated nucleus,gray_matter,named_structure,#D629C5,214,41,197,yes,362266
48,3047,IClPe,"intercalated nucleus, paraependymal part",gray_matter,named_structure,#E6784C,230,120,76,no,0
49,3048,ICo9,intercostal muscle motoneurons of lamina 9,gray_matter,named_structure,#D16B52,209,107,82,yes,156682
50,3049,IH9,infrahyoid muscle motoneurons of lamina 9,gray_matter,named_structure,#B4D629,180,214,41,yes,101878
51,3050,IML,intermediolateral column,gray_matter,named_structure,#29D680,41,214,128,yes,183236
52,3051,IMM,intermediomedial column,gray_matter,named_structure,#AEB8E0,174,184,224,yes,145740
53,3052,IPs9,iliopsoas motoneurons of lamina 9,gray_matter,named_structure,#D7C25D,215,194,93,no,0
54,3053,LatC,lateral cervical nucleus,gray_matter,named_structure,#EDA1E5,237,161,229,yes,127558
55,3054,LD9,latissimus dorsi motoneurons of lamina 9,gray_matter,named_structure,#E265E2,226,101,226,yes,32354
56,3055,LDCom,lumbar dorsal commissural nucleus,gray_matter,named_structure,#4669B9,70,105,185,yes,41166
57,3056,lf,lateral funiculus,white_matter,named_structure,#4C80E6,76,128,230,yes,13922000
58,3057,LPrCb,lumbar precerebellar nucleus,gray_matter,named_structure,#A1A1ED,161,161,237,yes,70208
59,3058,LS9,levator scapulae motoneurons of lamina 9,gray_matter,named_structure,#D6294B,214,41,75,yes,6370
60,3059,LSp,lateral spinal nucleus,gray_matter,named_structure,#555AB5,85,90,181,yes,2284644
61,3060,Man9,manus motoneurons of lamina 9,gray_matter,named_structure,#AC36C9,172,54,201,yes,47444
